symmetric,input_dim,latent_dim,target_ratio,ratio,hidden_layers,seed,mse_mean,mse_std,mse_p95,mae_mean,mae_std
False,128,64,2,2.0,2,28,2.619585,5.531375,8.014821052551264,1.1266661,0.8315051
True,128,64,2,2.0,2,29,1.3852525,3.9601212,3.5548254966735824,0.76517797,0.64213645
False,128,64,2,2.0,2,29,1.7583692,3.7652547,5.221457862853999,0.9401783,0.6613753
True,128,64,2,2.0,2,30,1.5289834,3.8253148,4.902194976806638,0.8140472,0.67512125
False,128,64,2,2.0,2,30,1.9319501,4.6134524,6.909087371826163,0.8892493,0.787975
True,128,64,2,2.0,2,31,1.6084118,4.5573134,5.10256547927855,0.8242799,0.70661974
False,128,64,2,2.0,2,31,2.8114202,6.4694757,8.03909587860106,1.1247042,0.8697635
True,128,64,2,2.0,2,32,1.8552606,4.749607,7.793471336364745,0.83758265,0.778341
False,128,64,2,2.0,2,32,2.1130366,3.780757,6.653614616394037,1.0232991,0.70941436
True,128,64,2,2.0,2,33,1.5844659,3.919935,4.479069805145263,0.8224694,0.68031275
False,128,64,2,2.0,2,33,1.9474964,5.4480505,5.5819421768188455,0.8995129,0.7547141
True,128,64,2,2.0,2,34,1.2473023,3.3351812,4.284708309173583,0.70353794,0.61665195
False,128,64,2,2.0,2,34,2.3419516,8.033046,5.905732345581052,0.912811,0.8837554
True,128,64,2,2.0,2,35,1.6801068,3.7873216,5.896711349487304,0.86360294,0.6764992
False,128,64,2,2.0,2,35,2.0134103,4.633788,5.146808815002442,0.99454194,0.72039115
True,128,64,2,2.0,2,36,1.6050745,6.023455,5.473714637756342,0.7737738,0.7449268
False,128,64,2,2.0,2,36,1.2205256,2.6621375,3.5087498664855934,0.7576764,0.55033016
True,128,64,2,2.0,2,37,1.5310782,3.7635498,4.4948115348815865,0.84820217,0.6466179
False,128,64,2,2.0,2,37,2.42502,4.6115594,6.894237327575683,1.1034383,0.76794827
True,128,64,2,2.0,2,38,1.5397546,2.988396,5.425824260711659,0.8507603,0.6187203
False,128,64,2,2.0,2,38,2.0808442,4.6107225,6.742905426025381,0.97568643,0.7580358
True,128,64,2,2.0,2,39,1.0904671,2.2626064,3.193233489990233,0.7337088,0.5094025
False,128,64,2,2.0,2,39,2.731751,5.280138,8.823044395446775,1.158719,0.80809796
True,128,64,2,2.0,2,40,1.9414248,5.109856,7.874222564697256,0.87877274,0.7992451
False,128,64,2,2.0,2,40,1.6690326,4.5311956,5.216362953186022,0.83469594,0.69764423
True,128,64,2,2.0,2,41,1.1864709,3.4435673,3.675647115707395,0.7254194,0.57945305
False,128,64,2,2.0,2,41,1.909465,5.6038895,4.403887748718256,0.88256764,0.78931427
True,128,64,2,2.0,2,42,1.5304685,3.8487558,3.8779908180236813,0.8278188,0.6586674
False,128,64,2,2.0,2,42,2.7122805,7.8812804,11.698569107055643,1.0153449,0.99937904
True,128,64,2,2.0,2,43,1.8843029,5.046235,5.707362747192375,0.868799,0.7773446
False,128,64,2,2.0,2,43,1.3043883,2.783949,4.725226402282708,0.7900157,0.57238036
True,128,64,2,2.0,2,44,1.643781,5.418662,5.126176071166988,0.7984796,0.7261419
False,128,64,2,2.0,2,44,1.4665313,2.9128501,4.549783515930174,0.8523344,0.5691635
True,128,64,2,2.0,2,45,2.2324336,4.0734773,6.352465629577631,1.0382862,0.7220904
False,128,64,2,2.0,2,45,2.235744,5.948442,6.648002624511705,0.9732285,0.80857766
True,128,64,2,2.0,2,46,1.7928487,3.3197145,5.053415012359616,0.92710435,0.6493814
False,128,64,2,2.0,2,46,1.982775,6.386817,6.14187755584714,0.8683616,0.79800546
True,128,64,2,2.0,2,47,1.2204514,2.2925353,3.8935912132263155,0.7776147,0.54048556
False,128,64,2,2.0,2,47,1.8150965,5.834309,4.568014526367184,0.8405924,0.7794196
True,128,64,2,2.0,2,48,1.8826324,4.34798,5.2865826606750455,0.9336643,0.6765486
False,128,64,2,2.0,2,48,1.4927248,3.890104,3.6407333374023434,0.81934667,0.64744365
True,128,64,2,2.0,2,49,1.7807114,4.1283894,5.421809768676755,0.91734886,0.6497039
False,128,64,2,2.0,2,49,2.3063135,5.9544387,5.794382858276366,0.9927918,0.81040335
True,128,32,4,4.0,2,0,1.7022595,3.1641643,4.469606399536132,0.94248927,0.6450397
False,128,32,4,4.0,2,0,3.4440236,5.5488143,11.83062305450439,1.3580831,0.93204534
True,128,32,4,4.0,2,1,1.5411795,2.8896263,5.486140918731689,0.86424726,0.6303667
False,128,32,4,4.0,2,1,2.0663114,4.1854315,5.552293586730955,1.0343871,0.7096585
True,128,32,4,4.0,2,2,2.6588745,4.1330185,8.053986930847156,1.1888559,0.7884483
False,128,32,4,4.0,2,2,5.371766,12.871058,15.283828353881834,1.5934362,1.3211101
True,128,32,4,4.0,2,3,2.253795,4.0389295,7.536550903320307,1.0317788,0.7431511
False,128,32,4,4.0,2,3,3.6664534,8.960589,14.161648178100574,1.300399,1.1081253
True,128,32,4,4.0,2,4,1.547288,3.5095425,4.506505966186521,0.8627541,0.62730265
False,128,32,4,4.0,2,4,2.9654684,7.7552304,9.070922470092768,1.212082,0.94599634
True,128,32,4,4.0,2,5,1.786511,3.295573,6.123838806152341,0.94090354,0.64022255
False,128,32,4,4.0,2,5,2.9197888,5.9421287,10.294436836242665,1.1884502,0.88299614
True,128,32,4,4.0,2,6,2.4676037,7.3447256,7.157725334167479,1.036558,0.8885886
False,128,32,4,4.0,2,6,4.2867317,6.3784456,14.62988052368163,1.5218738,1.0098404
True,128,32,4,4.0,2,7,1.8381743,3.8652604,5.1372491836547844,0.9403164,0.6930082
False,128,32,4,4.0,2,7,2.9374638,6.3415685,8.895715332031239,1.211262,0.9205166
True,128,32,4,4.0,2,8,1.646908,3.2475357,5.053015804290771,0.9061772,0.62655914
False,128,32,4,4.0,2,8,2.4537256,4.953391,7.701517295837401,1.0976557,0.7675695
True,128,32,4,4.0,2,9,2.0006642,4.9857597,6.2733282089233295,0.9919069,0.77455765
False,128,32,4,4.0,2,9,2.0416431,2.9595015,6.386763477325438,1.0311385,0.6820884
True,128,32,4,4.0,2,10,1.4354707,2.3728101,4.825456523895261,0.86354554,0.57152766
False,128,32,4,4.0,2,10,2.672142,6.157082,7.915365219116202,1.0994962,0.8901347
True,128,32,4,4.0,2,11,1.7636288,2.992694,5.28022174835205,0.9688636,0.6328331
False,128,32,4,4.0,2,11,3.7444413,9.128452,11.900757980346679,1.3075588,1.0771005
True,128,32,4,4.0,2,12,2.3577986,4.458685,7.45347309112548,1.098988,0.7838367
False,128,32,4,4.0,2,12,1.6718084,2.3273478,5.626171970367425,0.95565045,0.5839659
True,128,32,4,4.0,2,13,1.8373967,2.6830394,5.802430915832519,0.9995477,0.60406494
False,128,32,4,4.0,2,13,2.4491935,4.628835,7.2836784362792875,1.1375551,0.7616087
True,128,32,4,4.0,2,14,1.6632845,2.8130379,4.694907760620109,0.93956554,0.61146957
False,128,32,4,4.0,2,14,2.8360143,8.118851,8.29970607757568,1.1239052,0.91073906
True,128,32,4,4.0,2,15,2.0698316,4.333208,6.266581535339348,0.988029,0.7423694
False,128,32,4,4.0,2,15,2.045959,3.4516406,6.764923286437985,1.03049,0.7175791
True,128,32,4,4.0,2,16,1.6518525,3.2695498,5.086701583862289,0.90339506,0.6506238
False,128,32,4,4.0,2,16,3.1790414,6.6476097,10.042945671081538,1.2511588,0.9592908
True,128,32,4,4.0,2,17,1.5739231,2.5479484,5.1734661102294845,0.900902,0.5899144
False,128,32,4,4.0,2,17,4.402499,10.724905,16.272664070129377,1.4263121,1.166607
True,128,32,4,4.0,2,18,1.354552,2.5081623,4.775045967102048,0.8287614,0.5681249
False,128,32,4,4.0,2,18,1.6991128,2.5285747,5.151863098144531,0.9699518,0.6095629
True,128,32,4,4.0,2,19,1.4225565,2.218236,3.6358588218688954,0.8705858,0.5486735
False,128,32,4,4.0,2,19,2.2075593,5.1129284,5.9968112945556635,1.0419437,0.7682166
True,128,32,4,4.0,2,20,1.822973,3.3884823,5.015125370025628,0.98563796,0.65208423
False,128,32,4,4.0,2,20,4.489064,8.431907,14.364916610717772,1.5010053,1.1338943
True,128,32,4,4.0,2,21,1.7372125,2.8935432,4.7920588493347145,0.9525727,0.6381999
False,128,32,4,4.0,2,21,2.2720635,4.0078945,6.95184707641601,1.0902628,0.7261857
True,128,32,4,4.0,2,22,3.0010266,4.0358987,9.47051391601561,1.2491577,0.7681415
False,128,32,4,4.0,2,22,2.3681705,6.455777,7.354547977447498,1.0447466,0.8855112
True,128,32,4,4.0,2,23,1.7086682,2.372457,5.436224937438963,0.966415,0.5958315
False,128,32,4,4.0,2,23,3.4095736,5.813969,11.163106155395505,1.3105961,0.9229661
True,128,32,4,4.0,2,24,2.2309234,3.89332,7.05704879760742,1.0752119,0.7494753
False,128,32,4,4.0,2,24,1.6412187,2.5080156,5.63018894195556,0.9352386,0.6017117
True,128,32,4,4.0,2,25,1.7819631,4.029517,5.183252716064449,0.9325429,0.66401327
False,128,32,4,4.0,2,25,4.1861386,7.3922367,14.3483112335205,1.4500271,1.0501721
True,128,32,4,4.0,2,26,1.498666,2.395322,5.410928916931147,0.87733644,0.5995994
False,128,32,4,4.0,2,26,1.6916927,2.5893939,5.551716423034665,0.95428896,0.6020894
True,128,32,4,4.0,2,27,2.6777394,4.6965337,10.18423805236816,1.1485182,0.85908
